Time,"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
529,-10,-4.5,-0.5,1,-8.187101e-31,0,0.5383399
529,-9.867911,-4.5,-0.5,1.000009,-8.187168e-31,0,0.5383601
529,-9.735822,-4.5,-0.5,1.000032,-8.189711e-31,-2.451177e-17,0.5383952
529,-9.603733,-4.5,-0.5,1.000071,-8.188179e-31,-5.246371e-18,0.5384146
529,-9.471643,-4.5,-0.5,1.000125,-8.185597e-31,2.627463e-17,0.5384151
529,-9.339555,-4.5,-0.5,1.000195,-8.189193e-31,-5.246293e-18,0.5383986
529,-9.207466,-4.5,-0.5,1.00028,-8.190563e-31,-1.225552e-17,0.5383652
529,-9.075377,-4.5,-0.5,1.000381,-8.190213e-31,0,0.5383145
529,-8.943288,-4.5,-0.5,1.000498,-8.191172e-31,0,0.5382461
529,-8.811199,-4.5,-0.5,1.000632,-8.192269e-31,3.230481e-32,0.5381594
529,-8.67911,-4.5,-0.5,1.000783,-8.193511e-31,-5.205216e-36,0.5380536
529,-8.547021,-4.5,-0.5,1.000954,-8.194903e-31,-3.231001e-32,0.537928
529,-8.414931,-4.5,-0.5,1.001143,-8.196457e-31,0,0.5377814
529,-8.282843,-4.5,-0.5,1.001354,-8.198182e-31,0,0.5376126
529,-8.150754,-4.5,-0.5,1.001587,-8.200088e-31,0,0.5374203
529,-8.018664,-4.5,-0.5,1.001843,-8.202189e-31,0,0.5372029
529,-7.886576,-4.5,-0.5,1.002126,-8.204501e-31,0,0.5369585
529,-7.754487,-4.5,-0.5,1.002436,-8.207039e-31,0,0.536685
529,-7.622397,-4.5,-0.5,1.002776,-8.209822e-31,0,0.5363804
529,-7.490309,-4.5,-0.5,1.003148,-8.212871e-31,0,0.5360421
529,-7.35822,-4.5,-0.5,1.003556,-8.216207e-31,0,0.5356672
529,-7.22613,-4.5,-0.5,1.004001,-8.219857e-31,0,0.5352527
529,-7.094041,-4.5,-0.5,1.004489,-8.222679e-31,1.216202e-17,0.5347953
529,-6.961953,-4.5,-0.5,1.005021,-8.228207e-31,3.553471e-32,0.5342913
529,-6.829864,-4.5,-0.5,1.005603,-8.234138e-31,-1.216202e-17,0.5337363
529,-6.697774,-4.5,-0.5,1.006238,-8.238172e-31,-3.247274e-32,0.5331262
529,-6.565685,-4.5,-0.5,1.006932,-8.243853e-31,0,0.5324559
529,-6.433597,-4.5,-0.5,1.00769,-8.250054e-31,0,0.5317201
